City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
68,Puerto Ayora,EC,2022-02-13 04:08:12,-0.7393,-90.3518,74.55,92,57,4.23
69,East London,ZA,2022-02-13 04:03:58,-33.0153,27.9116,72.54,100,75,6.91
70,Dikson,RU,2022-02-13 04:03:07,73.5069,80.5464,-4.88,89,100,24.85
71,Saint-Philippe,RE,2022-02-13 04:04:25,-21.3585,55.7679,80.19,79,7,11.68
72,Port-Gentil,GA,2022-02-13 04:01:12,-0.7193,8.7815,80.38,79,100,7.56
73,Leningradskiy,RU,2022-02-13 04:03:49,69.3833,178.4167,-15.99,95,95,4.32
74,Taltal,CL,2022-02-13 04:00:26,-25.4,-70.4833,66.94,84,9,2.21
75,Kanniyakumari,IN,2022-02-13 04:08:14,8.0833,77.5667,81.19,64,97,22.03
76,Pundaguitan,PH,2022-02-13 04:08:15,6.3711,126.1689,80.94,76,100,14.05
77,Necochea,AR,2022-02-13 04:08:15,-38.5473,-58.7368,49.03,70,0,4.5
78,Bluff,NZ,2022-02-13 04:01:52,-46.6,168.3333,51.8,77,99,16.2
79,Torbay,CA,2022-02-13 04:03:19,47.6666,-52.7314,45.75,87,100,21.85
80,Petropavlovsk-Kamchatskiy,RU,2022-02-13 04:08:16,53.0452,158.6483,21.79,42,20,2.24
81,Kruisfontein,ZA,2022-02-13 04:08:17,-34.0033,24.7314,69.08,91,100,9.82
82,Hermanus,ZA,2022-02-13 04:08:17,-34.4187,19.2345,66.9,82,60,4.45
83,Faya,SA,2022-02-13 04:08:19,18.3851,42.4509,48.72,59,6,6.85
84,Upernavik,GL,2022-02-13 04:05:27,72.7868,-56.1549,-2.51,85,100,34.31
85,Dubbo,AU,2022-02-13 04:08:20,-32.25,148.6167,82.53,34,40,8.05
86,Chokurdakh,RU,2022-02-13 04:08:21,70.6333,147.9167,-1.48,94,100,11.86
87,Lovozero,RU,2022-02-13 04:08:21,68.005,35.0117,9.41,79,5,9.75
88,Andros,GR,2022-02-13 04:08:22,37.8333,24.9333,55.96,78,100,5.06
89,Riyadh,SA,2022-02-13 04:06:55,24.6877,46.7219,46.54,43,0,13.42
90,Saint-Pierre,RE,2022-02-13 04:09:23,-21.3393,55.4781,80.28,69,0,4.61
91,Stornoway,GB,2022-02-13 04:09:23,58.2093,-6.3865,40.96,92,20,8.05
92,Southborough,US,2022-02-13 04:09:24,42.3056,-71.5245,41.92,57,98,9.01
93,Prince Rupert,CA,2022-02-13 04:09:25,54.3161,-130.3201,39.11,90,100,3.67
94,Tuktoyaktuk,CA,2022-02-13 04:09:25,69.4541,-133.0374,-33.95,99,21,2.24
